time,year,month,day,mb,dmdt,time
2002-01-15,2002.0,1.0,15.0,69.86578954057899,68.86618139992845,2002-01-15
2002-02-15,2002.0,2.0,15.0,111.14681772085189,41.28102818027289,2002-02-15
2002-03-15,2002.0,3.0,15.0,144.45533859243264,33.30852087158075,2002-03-15
2002-04-15,2002.0,4.0,15.0,170.4831405380222,26.027801945589577,2002-04-15
2002-05-15,2002.0,5.0,15.0,180.796785287597,10.3136447495748,2002-05-15
2002-06-15,2002.0,6.0,15.0,94.10122234745323,-86.69556294014377,2002-06-15
2002-07-15,2002.0,7.0,15.0,-18.381818074885103,-112.48304042233833,2002-07-15
2002-08-15,2002.0,8.0,15.0,-112.92637246183813,-94.54455438695302,2002-08-15
2002-09-15,2002.0,9.0,15.0,-212.64658085511212,-99.72020839327399,2002-09-15
2002-10-15,2002.0,10.0,15.0,-161.38745324165512,51.259127613457,2002-10-15
2002-11-15,2002.0,11.0,15.0,-150.10929625051813,11.278156991136996,2002-11-15
2002-12-15,2002.0,12.0,15.0,-65.61190942389712,84.49738682662101,2002-12-15
2003-01-15,2003.0,1.0,15.0,-9.656842208453128,55.95506721544399,2003-01-15
2003-02-15,2003.0,2.0,15.0,11.308117218142883,20.96495942659601,2003-02-15
2003-03-15,2003.0,3.0,15.0,16.32058925471688,5.012472036573996,2003-03-15
2003-04-15,2003.0,4.0,15.0,25.39911466766938,9.078525412952501,2003-04-15
2003-05-15,2003.0,5.0,15.0,-2.600144642595126,-27.999259310264506,2003-05-15
2003-06-15,2003.0,6.0,15.0,-89.2957075827389,-86.69556294014377,2003-06-15
2003-07-15,2003.0,7.0,15.0,-201.77874800507723,-112.48304042233833,2003-07-15
2003-08-15,2003.0,8.0,15.0,-316.7032110853602,-114.92446308028298,2003-08-15
2003-09-15,2003.0,9.0,15.0,-343.9355901073502,-27.232379021990027,2003-09-15
2003-10-15,2003.0,10.0,15.0,-335.3174393281562,8.618150779194025,2003-10-15
2003-11-15,2003.0,11.0,15.0,-325.5815370578622,9.735902270293991,2003-11-15
2003-12-15,2003.0,12.0,15.0,-230.36846244559717,95.21307461226502,2003-12-15
2004-01-15,2004.0,1.0,15.0,-176.86335816172914,53.505104283868036,2004-01-15
2004-02-15,2004.0,2.0,15.0,-146.22613422708514,30.637223934644,2004-02-15
2004-03-15,2004.0,3.0,15.0,-90.45994836235013,55.76618586473501,2004-03-15
2004-04-15,2004.0,4.0,15.0,-25.454451634870637,65.0054967274795,2004-04-15
2004-05-15,2004.0,5.0,15.0,-71.54259199081713,-46.08814035594649,2004-05-15
2004-06-15,2004.0,6.0,15.0,-182.60657826405014,-111.06398627323301,2004-06-15
2004-07-15,2004.0,7.0,15.0,-340.00410257721114,-157.397524313161,2004-07-15
2004-08-15,2004.0,8.0,15.0,-480.1099984737641,-140.10589589655297,2004-08-15
2004-09-15,2004.0,9.0,15.0,-527.8547119938012,-47.74471352003707,2004-09-15
2004-10-15,2004.0,10.0,15.0,-476.8090633511831,51.04564864261806,2004-10-15
2004-11-15,2004.0,11.0,15.0,-425.89615797093813,50.91290538024498,2004-11-15
2004-12-15,2004.0,12.0,15.0,-303.91963166033815,121.97652631059998,2004-12-15
2005-01-15,2005.0,1.0,15.0,-259.40434584544715,44.515285814891,2005-01-15
2005-02-15,2005.0,2.0,15.0,-211.7914870384322,47.61285880701496,2005-02-15
2005-03-15,2005.0,3.0,15.0,-153.95853085183816,57.83295618659403,2005-03-15
2005-04-15,2005.0,4.0,15.0,-133.76122431173516,20.197306540103,2005-04-15
2005-05-15,2005.0,5.0,15.0,-206.44679212216516,-72.68556781043,2005-05-15
2005-06-15,2005.0,6.0,15.0,-309.24917709571815,-102.80238497355299,2005-06-15
2005-07-15,2005.0,7.0,15.0,-424.16230625069215,-114.913129154974,2005-07-15
2005-08-15,2005.0,8.0,15.0,-529.7004727270692,-105.53816647637706,2005-08-15
2005-09-15,2005.0,9.0,15.0,-569.6718532722671,-39.97138054519792,2005-09-15
2005-10-15,2005.0,10.0,15.0,-550.9341289771711,18.737724295095973,2005-10-15
2005-11-15,2005.0,11.0,15.0,-522.5517838855282,28.382345091642946,2005-11-15
2005-12-15,2005.0,12.0,15.0,-438.9716385403381,83.58014534519003,2005-12-15
2006-01-15,2006.0,1.0,15.0,-332.5553407220451,106.416297818293,2006-01-15
2006-02-15,2006.0,2.0,15.0,-288.6990326744031,43.85630804764202,2006-02-15
2006-03-15,2006.0,3.0,15.0,-251.39124059676612,37.307792077636975,2006-03-15
2006-04-15,2006.0,4.0,15.0,-228.3844909677701,23.006749628996033,2006-04-15
2006-05-15,2006.0,5.0,15.0,-228.5295827728881,-0.14509180511799968,2006-05-15
2006-06-15,2006.0,6.0,15.0,-308.24404372290013,-79.71446095001204,2006-06-15
2006-07-15,2006.0,7.0,15.0,-412.33516513143707,-104.09112140853694,2006-07-15
2006-08-15,2006.0,8.0,15.0,-490.1046596371101,-77.76949450567304,2006-08-15
2006-09-15,2006.0,9.0,15.0,-551.3817417240361,-61.27708208692604,2006-09-15
2006-10-15,2006.0,10.0,15.0,-527.6862218012361,23.69551992280003,2006-10-15
2006-11-15,2006.0,11.0,15.0,-473.4241457202121,54.26207608102402,2006-11-15
2006-12-15,2006.0,12.0,15.0,-435.5293112450131,37.89483447519899,2006-12-15
2007-01-15,2007.0,1.0,15.0,-393.97892522009715,41.55038602491595,2007-01-15
2007-02-15,2007.0,2.0,15.0,-382.8214229949112,11.157502225185965,2007-02-15
2007-03-15,2007.0,3.0,15.0,-344.98697145137214,37.834451543539046,2007-03-15
2007-04-15,2007.0,4.0,15.0,-315.73388008919613,29.253091362176008,2007-04-15
2007-05-15,2007.0,5.0,15.0,-326.01008920127714,-10.276209112081006,2007-05-15
2007-06-15,2007.0,6.0,15.0,-411.3565463245932,-85.34645712331604,2007-06-15
