time,year,month,day,mb,dmdt,time,jt
2002-01-15,2002.0,1.0,15.0,14.885889439231462,14.885889439231462,2002-01-15,2002.0409836065573
2002-02-15,2002.0,2.0,15.0,23.490595304575265,8.604705865343803,2002-02-15,2002.1256830601094
2002-03-15,2002.0,3.0,15.0,25.194284926440044,1.703689621864778,2002-03-15,2002.2021857923498
2002-04-15,2002.0,4.0,15.0,22.727590499726432,-2.466694426713614,2002-04-15,2002.2868852459017
2002-05-15,2002.0,5.0,15.0,23.349175392939475,0.6215848932130426,2002-05-15,2002.3688524590164
2002-06-15,2002.0,6.0,15.0,28.992537959970075,5.6433625670306,2002-06-15,2002.4535519125684
2002-07-15,2002.0,7.0,15.0,21.586847781086725,-7.405690178883351,2002-07-15,2002.535519125683
2002-08-15,2002.0,8.0,15.0,-26.281780212227176,-47.8686279933139,2002-08-15,2002.620218579235
2002-09-15,2002.0,9.0,15.0,-61.186568549163475,-34.9047883369363,2002-09-15,2002.704918032787
2002-10-15,2002.0,10.0,15.0,-40.70319117005647,20.483377379107,2002-10-15,2002.7868852459017
2002-11-15,2002.0,11.0,15.0,-35.833954798103974,4.8692363719525,2002-11-15,2002.8715846994535
2002-12-15,2002.0,12.0,15.0,-31.05722152365601,4.776733274447963,2002-12-15,2002.9535519125684
2003-01-15,2003.0,1.0,15.0,-16.17133208442455,14.885889439231462,2003-01-15,2003.0409836065573
2003-02-15,2003.0,2.0,15.0,-8.158573055301549,8.012759029123,2003-02-15,2003.1256830601094
2003-03-15,2003.0,3.0,15.0,-11.66833516296479,-3.5097621076632404,2003-03-15,2003.2021857923498
2003-04-15,2003.0,4.0,15.0,-5.904854565342889,5.7634805976219,2003-04-15,2003.2868852459017
2003-05-15,2003.0,5.0,15.0,-19.585980047832088,-13.6811254824892,2003-05-15,2003.3688524590164
2003-06-15,2003.0,6.0,15.0,-9.353543717052537,10.232436330779551,2003-06-15,2003.4535519125684
2003-07-15,2003.0,7.0,15.0,-16.89925761403491,-7.545713896982372,2003-07-15,2003.535519125683
2003-08-15,2003.0,8.0,15.0,-42.743515800640054,-25.844258186605146,2003-08-15,2003.620218579235
2003-09-15,2003.0,9.0,15.0,-48.07159932781516,-5.328083527175103,2003-09-15,2003.704918032787
2003-10-15,2003.0,10.0,15.0,-44.83560129339116,3.235998034424,2003-10-15,2003.7868852459017
2003-11-15,2003.0,11.0,15.0,-35.68945078363636,9.1461505097548,2003-11-15,2003.8715846994535
2003-12-15,2003.0,12.0,15.0,-30.912717509188397,4.776733274447963,2003-12-15,2003.9535519125684
2004-01-15,2004.0,1.0,15.0,-16.026828069956935,14.885889439231462,2004-01-15,2004.0409836065573
2004-02-15,2004.0,2.0,15.0,7.139445527953704,23.16627359791064,2004-02-15,2004.1256830601094
2004-03-15,2004.0,3.0,15.0,-10.434476315228537,-17.57392184318224,2004-03-15,2004.204918032787
2004-04-15,2004.0,4.0,15.0,-13.871037787065436,-3.4365614718368995,2004-04-15,2004.2896174863388
2004-05-15,2004.0,5.0,15.0,-8.218961284905138,5.652076502160298,2004-05-15,2004.3715846994535
2004-06-15,2004.0,6.0,15.0,2.6011041714931817,10.82006545639832,2004-06-15,2004.4562841530055
2004-07-15,2004.0,7.0,15.0,5.183330503593982,2.5822263321008,2004-07-15,2004.5382513661202
