time,year,month,day,mb,dmdt,time,jt
2002-01-15,2002.0,1.0,15.0,8.436533720729342,6.702177183986371,2002-01-15,2002.0409836065573
2002-02-15,2002.0,2.0,15.0,10.407725311749141,1.9711915910198001,2002-02-15,2002.1256830601094
2002-03-15,2002.0,3.0,15.0,8.956891775533784,-1.450833536215358,2002-03-15,2002.2021857923498
2002-04-15,2002.0,4.0,15.0,9.302580303621975,0.3456885280881904,2002-04-15,2002.2868852459017
2002-05-15,2002.0,5.0,15.0,-3.661259352755625,-12.9638396563776,2002-05-15,2002.3688524590164
2002-06-15,2002.0,6.0,15.0,-9.577289950584895,-5.91603059782927,2002-06-15,2002.4535519125684
2002-07-15,2002.0,7.0,15.0,-38.29988706836305,-28.72259711777815,2002-07-15,2002.535519125683
2002-08-15,2002.0,8.0,15.0,-61.77199802427019,-23.472110955907144,2002-08-15,2002.620218579235
2002-09-15,2002.0,9.0,15.0,-41.28862064516319,20.483377379107,2002-09-15,2002.704918032787
2002-10-15,2002.0,10.0,15.0,-36.419384273210696,4.8692363719525,2002-10-15,2002.7868852459017
2002-11-15,2002.0,11.0,15.0,-38.397420865825694,-1.9780365926150019,2002-11-15,2002.8715846994535
2002-12-15,2002.0,12.0,15.0,-30.384661836702694,8.012759029123,2002-12-15,2002.9535519125684
2003-01-15,2003.0,1.0,15.0,-7.218388238792052,23.166273597910642,2003-01-15,2003.0409836065573
2003-02-15,2003.0,2.0,15.0,-10.728150346455292,-3.5097621076632404,2003-02-15,2003.1256830601094
2003-03-15,2003.0,3.0,15.0,-4.964669748833392,5.7634805976219,2003-03-15,2003.2021857923498
2003-04-15,2003.0,4.0,15.0,-18.645795231322595,-13.6811254824892,2003-04-15,2003.2868852459017
2003-05-15,2003.0,5.0,15.0,-8.413358900543043,10.232436330779551,2003-05-15,2003.3688524590164
2003-06-15,2003.0,6.0,15.0,-14.329389498372313,-5.91603059782927,2003-06-15,2003.4535519125684
2003-07-15,2003.0,7.0,15.0,-43.051986616150465,-28.72259711777815,2003-07-15,2003.535519125683
2003-08-15,2003.0,8.0,15.0,-48.38007014332557,-5.328083527175103,2003-08-15,2003.620218579235
2003-09-15,2003.0,9.0,15.0,-45.14407210890157,3.235998034424,2003-09-15,2003.704918032787
