time,year,month,day,mb,dmdt,time
2002-01-15,2002.0,1.0,15.0,-1.4343515664633983,1.9531770082508322,2002-01-15
2002-02-15,2002.0,2.0,15.0,-3.9893360465986207,-2.5549844801352224,2002-02-15
2002-03-15,2002.0,3.0,15.0,4.074241167541643,8.063577214140263,2002-03-15
2002-04-15,2002.0,4.0,15.0,11.843625662407593,7.76938449486595,2002-04-15
2002-05-15,2002.0,5.0,15.0,27.572591767106292,15.7289661046987,2002-05-15
2002-06-15,2002.0,6.0,15.0,26.64631845774827,-0.9262733093580253,2002-06-15
2002-07-15,2002.0,7.0,15.0,-24.036010126439162,-50.68232858418743,2002-07-15
2002-08-15,2002.0,8.0,15.0,-61.7405905081546,-37.70458038171543,2002-08-15
2002-09-15,2002.0,9.0,15.0,-105.4708223408108,-43.73023183265621,2002-09-15
2002-10-15,2002.0,10.0,15.0,-97.9071220856761,7.563700255134705,2002-10-15
2002-11-15,2002.0,11.0,15.0,-92.444243559977,5.462878525699097,2002-11-15
2002-12-15,2002.0,12.0,15.0,-78.8323145378527,13.6119290221243,2002-12-15
2003-01-15,2003.0,1.0,15.0,-58.1966520516933,20.635662486159397,2003-01-15
2003-02-15,2003.0,2.0,15.0,-54.500636015383094,3.696016036310205,2003-02-15
2003-03-15,2003.0,3.0,15.0,-23.3698086494144,31.130827365968695,2003-03-15
2003-04-15,2003.0,4.0,15.0,-12.488570590285217,10.881238059129181,2003-04-15
2003-05-15,2003.0,5.0,15.0,-22.597649398269496,-10.109078807984279,2003-05-15
2003-06-15,2003.0,6.0,15.0,-23.52392270762752,-0.9262733093580253,2003-06-15
2003-07-15,2003.0,7.0,15.0,-74.20625129181495,-50.68232858418743,2003-07-15
2003-08-15,2003.0,8.0,15.0,-95.04047979585106,-20.834228504036105,2003-08-15
2003-09-15,2003.0,9.0,15.0,-95.36200586805865,-0.32152607220758966,2003-09-15
2003-10-15,2003.0,10.0,15.0,-94.98077854996946,0.38122731808918786,2003-10-15
2003-11-15,2003.0,11.0,15.0,-81.46648001857766,13.514298531391802,2003-11-15
2003-12-15,2003.0,12.0,15.0,-86.49429133205965,-5.02781131348199,2003-12-15
2004-01-15,2004.0,1.0,15.0,-70.68306737824504,15.811223953814604,2004-01-15
2004-02-15,2004.0,2.0,15.0,-67.49995386184844,3.1831135163965953,2004-02-15
2004-03-15,2004.0,3.0,15.0,-73.28665867734023,-5.786704815491795,2004-03-15
2004-04-15,2004.0,4.0,15.0,-48.42669664215253,24.8599620351877,2004-04-15
2004-05-15,2004.0,5.0,15.0,-50.72361313337123,-2.2969164912187026,2004-05-15
2004-06-15,2004.0,6.0,15.0,-45.072372407465025,5.651240725906202,2004-06-15
2004-07-15,2004.0,7.0,15.0,-69.19317178063453,-24.1207993731695,2004-07-15
2004-08-15,2004.0,8.0,15.0,-87.40421566435512,-18.2110438837206,2004-08-15
2004-09-15,2004.0,9.0,15.0,-100.08688096726172,-12.6826653029066,2004-09-15
2004-10-15,2004.0,10.0,15.0,-100.51126728153243,-0.4243863142707056,2004-10-15
2004-11-15,2004.0,11.0,15.0,-85.46516561158282,15.046101669949607,2004-11-15
2004-12-15,2004.0,12.0,15.0,-68.16647677960133,17.298688831981494,2004-12-15
2005-01-15,2005.0,1.0,15.0,-64.01125283064133,4.15522394896,2005-01-15
2005-02-15,2005.0,2.0,15.0,-70.49056398465733,-6.479311154016003,2005-02-15
2005-03-15,2005.0,3.0,15.0,-52.71022221785273,17.7803417668046,2005-03-15
2005-04-15,2005.0,4.0,15.0,-52.434981615063435,0.2752406027892995,2005-04-15
2005-05-15,2005.0,5.0,15.0,-37.84200708335864,14.592974531704801,2005-05-15
2005-06-15,2005.0,6.0,15.0,-11.611582949279438,26.2304241340792,2005-06-15
2005-07-15,2005.0,7.0,15.0,-81.89618546597444,-70.284602516695,2005-07-15
2005-08-15,2005.0,8.0,15.0,-125.95644236615215,-44.060256900177706,2005-08-15
2005-09-15,2005.0,9.0,15.0,-137.72924529375913,-11.772802927606989,2005-09-15
2005-10-15,2005.0,10.0,15.0,-132.01700180415514,5.712243489603992,2005-10-15
2005-11-15,2005.0,11.0,15.0,-107.68137270477725,24.335629099377897,2005-11-15
2005-12-15,2005.0,12.0,15.0,-108.56009738421135,-0.8787246794341002,2005-12-15
2006-01-15,2006.0,1.0,15.0,-133.81575165976355,-25.255654275552203,2006-01-15
2006-02-15,2006.0,2.0,15.0,-114.51284077813875,19.302910881624804,2006-02-15
2006-03-15,2006.0,3.0,15.0,-126.98351628125366,-12.470675503114897,2006-03-15
2006-04-15,2006.0,4.0,15.0,-94.39146828650615,32.592047994747496,2006-04-15
2006-05-15,2006.0,5.0,15.0,-90.50767121328515,3.883797073221004,2006-05-15
2006-06-15,2006.0,6.0,15.0,-89.77265855843376,0.7350126548513956,2006-06-15
2006-07-15,2006.0,7.0,15.0,-154.15760449252926,-64.3849459340955,2006-07-15
2006-08-15,2006.0,8.0,15.0,-187.86628737429135,-33.70868288176209,2006-08-15
2006-09-15,2006.0,9.0,15.0,-200.84508875688036,-12.978801382589012,2006-09-15
2006-10-15,2006.0,10.0,15.0,-181.38308318179836,19.462005575082003,2006-10-15
2006-11-15,2006.0,11.0,15.0,-188.38088007230635,-6.997796890507999,2006-11-15
2006-12-15,2006.0,12.0,15.0,-150.41662840079914,37.9642516715072,2006-12-15
2007-01-15,2007.0,1.0,15.0,-142.02452936938914,8.392099031409998,2007-01-15
2007-02-15,2007.0,2.0,15.0,-141.00660567914915,1.0179236902399964,2007-02-15
2007-03-15,2007.0,3.0,15.0,-115.91767689349075,25.088928785658396,2007-03-15
2007-04-15,2007.0,4.0,15.0,-144.14687715815813,-28.229200264667398,2007-04-15
2007-05-15,2007.0,5.0,15.0,-103.57350785395373,40.573369304204405,2007-05-15
2007-06-15,2007.0,6.0,15.0,-108.67537980669913,-5.101871952745398,2007-06-15
2007-07-15,2007.0,7.0,15.0,-162.0575218151361,-53.382142008437,2007-07-15
2007-08-15,2007.0,8.0,15.0,-179.7309189495641,-17.673397134428,2007-08-15
2007-09-15,2007.0,9.0,15.0,-200.55276897079312,-20.82185002122901,2007-09-15
2007-10-15,2007.0,10.0,15.0,-202.00210829124512,-1.4493393204519975,2007-10-15
2007-11-15,2007.0,11.0,15.0,-185.1239714642611,16.87813682698402,2007-11-15
2007-12-15,2007.0,12.0,15.0,-170.20960936943612,14.91436209482498,2007-12-15
2008-01-15,2008.0,1.0,15.0,-137.89631530556613,32.31329406386999,2008-01-15
2008-02-15,2008.0,2.0,15.0,-113.18394271258413,24.712372592982007,2008-02-15
2008-03-15,2008.0,3.0,15.0,-137.51796105825312,-24.334018345668994,2008-03-15
2008-04-15,2008.0,4.0,15.0,-118.73391821198412,18.784042846269003,2008-04-15
2008-05-15,2008.0,5.0,15.0,-114.97478257569612,3.7591356362879935,2008-05-15
2008-06-15,2008.0,6.0,15.0,-109.47929800770812,5.495484567988001,2008-06-15
2008-07-15,2008.0,7.0,15.0,-167.74186173859312,-58.26256373088499,2008-07-15
2008-08-15,2008.0,8.0,15.0,-209.80926848882913,-42.06740675023602,2008-08-15
2008-09-15,2008.0,9.0,15.0,-231.87036379933113,-22.061095310501997,2008-09-15
2008-10-15,2008.0,10.0,15.0,-207.47315291379013,24.397210885541,2008-10-15
2008-11-15,2008.0,11.0,15.0,-195.4529734146921,12.02017949909802,2008-11-15
2008-12-15,2008.0,12.0,15.0,-199.6226919081811,-4.169718493489,2008-12-15
2009-01-15,2009.0,1.0,15.0,-201.4670518440601,-1.8443599358789982,2009-01-15
2009-02-15,2009.0,2.0,15.0,-225.0686613331051,-23.60160948904499,2009-02-15
2009-03-15,2009.0,3.0,15.0,-203.0482083792501,22.020452953855,2009-03-15
2009-04-15,2009.0,4.0,15.0,-214.0441032930071,-10.995894913757013,2009-04-15
2009-05-15,2009.0,5.0,15.0,-194.75123630133612,19.29286699167099,2009-05-15
2009-06-15,2009.0,6.0,15.0,-202.7232702239931,-7.972033922656976,2009-06-15
2009-07-15,2009.0,7.0,15.0,-245.10221049746912,-42.37894027347602,2009-07-15
2009-08-15,2009.0,8.0,15.0,-310.69915382693614,-65.596943329467,2009-08-15
2009-09-15,2009.0,9.0,15.0,-327.85356406403315,-17.15441023709701,2009-09-15
2009-10-15,2009.0,10.0,15.0,-310.37154873719516,17.482015326837995,2009-10-15
2009-11-15,2009.0,11.0,15.0,-283.67123768932214,26.700311047873015,2009-11-15
2009-12-15,2009.0,12.0,15.0,-275.2749428143901,8.39629487493201,2009-12-15
2010-01-15,2010.0,1.0,15.0,-273.3217658061393,1.9531770082508322,2010-01-15
2010-02-15,2010.0,2.0,15.0,-263.3836399674413,9.938125838698,2010-02-15
2010-03-15,2010.0,3.0,15.0,-252.31707588036332,11.066564087077978,2010-03-15
2010-04-15,2010.0,4.0,15.0,-245.2596876315963,7.057388248767012,2010-04-15
2010-05-15,2010.0,5.0,15.0,-239.1279813196923,6.131706311903997,2010-05-15
2010-06-15,2010.0,6.0,15.0,-244.6021688732423,-5.474187553549996,2010-06-15
2010-07-15,2010.0,7.0,15.0,-306.9808013969043,-62.37863252366202,2010-07-15
2010-08-15,2010.0,8.0,15.0,-342.3453537898733,-35.36455239296896,2010-08-15
2010-09-15,2010.0,9.0,15.0,-363.6440521863793,-21.29869839650604,2010-09-15
2010-10-15,2010.0,10.0,15.0,-359.2132003778003,4.430851808579007,2010-10-15
2010-11-15,2010.0,11.0,15.0,-362.1026986588403,-2.889498281040005,2010-11-15
2010-12-15,2010.0,12.0,15.0,-333.4730127957943,28.629685863046006,2010-12-15
2011-01-15,2011.0,1.0,15.0,-342.2996612170073,1.9531770082508322,2011-01-15
2011-02-15,2011.0,2.0,15.0,-344.85464569714253,-2.5549844801352224,2011-02-15
2011-03-15,2011.0,3.0,15.0,-368.69752466526154,-23.84287896811901,2011-03-15
2011-04-15,2011.0,4.0,15.0,-334.73628187709954,33.961242788162,2011-04-15
2011-05-15,2011.0,5.0,15.0,-339.37536916221956,-4.639087285120013,2011-05-15
2011-06-15,2011.0,6.0,15.0,-340.30164247157757,-0.9262733093580253,2011-06-15
2011-07-15,2011.0,7.0,15.0,-390.983971055765,-50.68232858418743,2011-07-15
2011-08-15,2011.0,8.0,15.0,-438.313731968728,-47.329760912963025,2011-08-15
2011-09-15,2011.0,9.0,15.0,-468.098350012933,-29.78461804420499,2011-09-15
2011-10-15,2011.0,10.0,15.0,-451.615689505912,16.482660507021023,2011-10-15
2011-11-15,2011.0,11.0,15.0,-437.973926220971,13.641763284940964,2011-11-15
2011-12-15,2011.0,12.0,15.0,-410.58997691286197,27.383949308109038,2011-12-15
2012-01-15,2012.0,1.0,15.0,-423.00814968446497,-12.418172771602997,2012-01-15
2012-02-15,2012.0,2.0,15.0,-413.355898985262,9.652250699202966,2012-02-15
2012-03-15,2012.0,3.0,15.0,-407.448754926019,5.9071440592430235,2012-03-15
2012-04-15,2012.0,4.0,15.0,-402.879338913677,4.569416012342003,2012-04-15
2012-05-15,2012.0,5.0,15.0,-398.18851967674857,4.690819236928431,2012-05-15
2012-06-15,2012.0,6.0,15.0,-399.1147929861066,-0.9262733093580253,2012-06-15
2012-07-15,2012.0,7.0,15.0,-452.9318171094256,-53.817024123319015,2012-07-15
2012-08-15,2012.0,8.0,15.0,-503.6039365260536,-50.67211941662799,2012-08-15
2012-09-15,2012.0,9.0,15.0,-498.85813506515757,4.745801460896018,2012-09-15
2012-10-15,2012.0,10.0,15.0,-487.9110248875917,10.947110177565873,2012-10-15
2012-11-15,2012.0,11.0,15.0,-471.3719742735791,16.53905061401256,2012-11-15
2012-12-15,2012.0,12.0,15.0,-445.3353911349131,26.036583138666003,2012-12-15
2013-01-15,2013.0,1.0,15.0,-422.4296791971151,22.905711937798003,2013-01-15
2013-02-15,2013.0,2.0,15.0,-445.6634589509511,-23.233779753836018,2013-02-15
2013-03-15,2013.0,3.0,15.0,-437.59988173681086,8.063577214140263,2013-03-15
2013-04-15,2013.0,4.0,15.0,-429.8304972419449,7.76938449486595,2013-04-15
2013-05-15,2013.0,5.0,15.0,-406.2239398859519,23.606557355993004,2013-05-15
2013-06-15,2013.0,6.0,15.0,-402.2767806109089,3.9471592750430204,2013-06-15
2013-07-15,2013.0,7.0,15.0,-457.89202620540186,-55.61524559449299,2013-07-15
2013-08-15,2013.0,8.0,15.0,-495.5966065871173,-37.70458038171543,2013-08-15
2013-09-15,2013.0,9.0,15.0,-509.6635640846383,-14.066957497521027,2013-09-15
2013-10-15,2013.0,10.0,15.0,-498.71645390707243,10.947110177565873,2013-10-15
2013-11-15,2013.0,11.0,15.0,-459.20022569851545,39.51622820855698,2013-11-15
2013-12-15,2013.0,12.0,15.0,-482.61578868731243,-23.415562988796978,2013-12-15
2014-01-15,2014.0,1.0,15.0,-480.6626116790616,1.9531770082508322,2014-01-15
2014-02-15,2014.0,2.0,15.0,-483.21759615919683,-2.5549844801352224,2014-02-15
2014-03-15,2014.0,3.0,15.0,-475.1540189450566,8.063577214140263,2014-03-15
2014-04-15,2014.0,4.0,15.0,-475.9503911866706,-0.7963722416139944,2014-04-15
2014-05-15,2014.0,5.0,15.0,-482.9832855780186,-7.032894391348009,2014-05-15
2014-06-15,2014.0,6.0,15.0,-472.47006718323956,10.513218394779017,2014-06-15
2014-07-15,2014.0,7.0,15.0,-523.152395767427,-50.68232858418743,2014-07-15
2014-08-15,2014.0,8.0,15.0,-560.8569761491425,-37.70458038171543,2014-08-15
2014-09-15,2014.0,9.0,15.0,-564.7779165437275,-3.9209403945849886,2014-09-15
2014-10-15,2014.0,10.0,15.0,-571.9367427130035,-7.158826169275983,2014-10-15
2014-11-15,2014.0,11.0,15.0,-542.9541766798854,28.982566033117962,2014-11-15
2014-12-15,2014.0,12.0,15.0,-529.8638174237489,13.09035925613662,2014-12-15
2015-01-15,2015.0,1.0,15.0,-529.4803852680079,0.38343215574099077,2015-01-15
2015-02-15,2015.0,2.0,15.0,-534.3721692885939,-4.8917840205859875,2015-02-15
2015-03-15,2015.0,3.0,15.0,-523.8853899036419,10.486779384952001,2015-03-15
2015-04-15,2015.0,4.0,15.0,-546.700873002181,-22.815483098539005,2015-04-15
2015-05-15,2015.0,5.0,15.0,-542.0100537652526,4.690819236928431,2015-05-15
2015-06-15,2015.0,6.0,15.0,-542.9363270746106,-0.9262733093580253,2015-06-15
2015-07-15,2015.0,7.0,15.0,-593.618655658798,-50.68232858418743,2015-07-15
2015-08-15,2015.0,8.0,15.0,-614.214441831763,-20.595786172965006,2015-08-15
