time,year,month,day,mb,dmdt,time,jt
2002-01-15,2002.0,1.0,15.0,43.46430361227343,43.46430361227343,2002-01-15,2002.0409836065573
2002-02-15,2002.0,2.0,15.0,57.58299985937943,14.118696247105992,2002-02-15,2002.1256830601094
2002-03-15,2002.0,3.0,15.0,56.3726020200896,-1.210397839289829,2002-03-15,2002.2021857923498
2002-04-15,2002.0,4.0,15.0,64.36402682301542,7.991424802925827,2002-04-15,2002.2868852459017
2002-05-15,2002.0,5.0,15.0,75.26859075216213,10.904563929146702,2002-05-15,2002.3688524590164
2002-06-15,2002.0,6.0,15.0,80.95029488514933,5.681704132987205,2002-06-15,2002.4535519125684
2002-07-15,2002.0,7.0,15.0,75.0920645303657,-5.858230354783632,2002-07-15,2002.535519125683
2002-08-15,2002.0,8.0,15.0,40.7757767709208,-34.316287759444904,2002-08-15,2002.620218579235
2002-09-15,2002.0,9.0,15.0,-9.269477093222804,-50.0452538641436,2002-09-15,2002.704918032787
2002-10-15,2002.0,10.0,15.0,-52.99970892587901,-43.73023183265621,2002-10-15,2002.7868852459017
2002-11-15,2002.0,11.0,15.0,-45.43600867074431,7.563700255134706,2002-11-15,2002.8715846994535
2002-12-15,2002.0,12.0,15.0,-31.794245385803343,13.641763284940964,2002-12-15,2002.9535519125684
2003-01-15,2003.0,1.0,15.0,11.67005822647009,43.46430361227343,2003-01-15,2003.0409836065573
2003-02-15,2003.0,2.0,15.0,25.28198724859439,13.6119290221243,2003-02-15,2003.1256830601094
2003-03-15,2003.0,3.0,15.0,28.978003284904595,3.696016036310205,2003-03-15,2003.2021857923498
2003-04-15,2003.0,4.0,15.0,60.108830650873294,31.1308273659687,2003-04-15,2003.2868852459017
2003-05-15,2003.0,5.0,15.0,70.99006871000248,10.88123805912918,2003-05-15,2003.3688524590164
2003-06-15,2003.0,6.0,15.0,60.88098990201819,-10.10907880798428,2003-06-15,2003.4535519125684
2003-07-15,2003.0,7.0,15.0,32.912242190303765,-27.96874771171443,2003-07-15,2003.535519125683
2003-08-15,2003.0,8.0,15.0,-14.845053577672836,-47.7572957679766,2003-08-15,2003.620218579235
2003-09-15,2003.0,9.0,15.0,-35.67928208170894,-20.834228504036105,2003-09-15,2003.704918032787
2003-10-15,2003.0,10.0,15.0,-36.00080815391653,-0.3215260722075896,2003-10-15,2003.7868852459017
2003-11-15,2003.0,11.0,15.0,-35.61958083582734,0.3812273180891878,2003-11-15,2003.8715846994535
2003-12-15,2003.0,12.0,15.0,-21.97781755088638,13.641763284940964,2003-12-15,2003.9535519125684
2004-01-15,2004.0,1.0,15.0,21.486486061387055,43.46430361227343,2004-01-15,2004.0409836065573
2004-02-15,2004.0,2.0,15.0,42.12214854754646,20.6356624861594,2004-02-15,2004.1256830601094
2004-03-15,2004.0,3.0,15.0,45.305262063943054,3.183113516396596,2004-03-15,2004.204918032787
2004-04-15,2004.0,4.0,15.0,39.51855724845126,-5.786704815491795,2004-04-15,2004.2896174863388
2004-05-15,2004.0,5.0,15.0,64.37851928363895,24.8599620351877,2004-05-15,2004.3715846994535
2004-06-15,2004.0,6.0,15.0,62.08160279242025,-2.2969164912187026,2004-06-15,2004.4562841530055
2004-07-15,2004.0,7.0,15.0,67.73284351832645,5.651240725906202,2004-07-15,2004.5382513661202
2004-08-15,2004.0,8.0,15.0,25.15552397458184,-42.57731954374461,2004-08-15,2004.622950819672
