time,year,month,day,mb,dmdt,time
2002-01-15,2002.0,1.0,15.0,48.697,40.483687499999995,2002-01-15
2002-02-15,2002.0,2.0,15.0,62.875020000000056,14.178020000000053,2002-02-15
2002-03-15,2002.0,3.0,15.0,81.84063333333339,18.965613333333334,2002-03-15
2002-04-15,2002.0,4.0,15.0,86.83495833333336,4.994324999999977,2002-04-15
2002-05-15,2002.0,5.0,15.0,157.07255833333335,70.2376,2002-05-15
2002-06-15,2002.0,6.0,15.0,126.17162976190482,-30.900928571428526,2002-06-15
2002-07-15,2002.0,7.0,15.0,-20.019513095238096,-146.19114285714292,2002-07-15
2002-08-15,2002.0,8.0,15.0,-212.3072464285714,-192.2877333333333,2002-08-15
2002-09-15,2002.0,9.0,15.0,-274.74124642857146,-62.434000000000026,2002-09-15
2002-10-15,2002.0,10.0,15.0,-240.78224642857145,33.959,2002-10-15
2002-11-15,2002.0,11.0,15.0,-188.86124642857143,51.92100000000002,2002-11-15
2002-12-15,2002.0,12.0,15.0,-154.20224642857144,34.65899999999999,2002-12-15
2003-01-15,2003.0,1.0,15.0,-130.6222464285714,23.58000000000004,2003-01-15
2003-02-15,2003.0,2.0,15.0,-105.56594642857141,25.056299999999993,2003-02-15
2003-03-15,2003.0,3.0,15.0,-51.39574642857141,54.1702,2003-03-15
2003-04-15,2003.0,4.0,15.0,-35.670546428571406,15.725200000000001,2003-04-15
2003-05-15,2003.0,5.0,15.0,-23.783055428571405,11.887491,2003-05-15
2003-06-15,2003.0,6.0,15.0,-54.68398399999993,-30.900928571428526,2003-06-15
2003-07-15,2003.0,7.0,15.0,-200.87512685714285,-146.19114285714292,2003-07-15
2003-08-15,2003.0,8.0,15.0,-357.62912685714286,-156.754,2003-08-15
2003-09-15,2003.0,9.0,15.0,-384.81912685714286,-27.189999999999998,2003-09-15
2003-10-15,2003.0,10.0,15.0,-374.53512685714287,10.283999999999992,2003-10-15
2003-11-15,2003.0,11.0,15.0,-377.1151268571429,-2.580000000000041,2003-11-15
2003-12-15,2003.0,12.0,15.0,-331.4761268571429,45.63900000000001,2003-12-15
2004-01-15,2004.0,1.0,15.0,-338.2171268571429,-6.7409999999999854,2004-01-15
2004-02-15,2004.0,2.0,15.0,-373.2351268571429,-35.01800000000003,2004-02-15
2004-03-15,2004.0,3.0,15.0,-320.72712685714293,52.50799999999998,2004-03-15
2004-04-15,2004.0,4.0,15.0,-260.0381268571429,60.68900000000002,2004-04-15
2004-05-15,2004.0,5.0,15.0,-274.5481268571429,-14.509999999999991,2004-05-15
2004-06-15,2004.0,6.0,15.0,-314.1421268571429,-39.593999999999994,2004-06-15
2004-07-15,2004.0,7.0,15.0,-416.3001268571429,-102.15800000000002,2004-07-15
2004-08-15,2004.0,8.0,15.0,-547.9451268571429,-131.64499999999998,2004-08-15
2004-09-15,2004.0,9.0,15.0,-604.385126857143,-56.440000000000055,2004-09-15
2004-10-15,2004.0,10.0,15.0,-625.8641268571429,-21.478999999999928,2004-10-15
