time,year,month,day,mb,dmdt,time
2002-01-15,2002.0,1.0,15.0,-2.73706993833839,3.8616222785681016,2002-01-15
2002-02-15,2002.0,2.0,15.0,-0.275834015672654,2.461235922665736,2002-02-15
2002-03-15,2002.0,3.0,15.0,1.205379446745067,1.481213462417721,2002-03-15
2002-04-15,2002.0,4.0,15.0,6.696676237900254,5.491296791155188,2002-04-15
2002-05-15,2002.0,5.0,15.0,1.574155338280014,-5.12252089962024,2002-05-15
2002-06-15,2002.0,6.0,15.0,-5.288520209740295,-6.8626755480203085,2002-06-15
2002-07-15,2002.0,7.0,15.0,-13.72827850272209,-8.439758292981795,2002-07-15
2002-08-15,2002.0,8.0,15.0,-22.338170818999686,-8.609892316277596,2002-08-15
2002-09-15,2002.0,9.0,15.0,-19.756320029073585,2.581850789926099,2002-09-15
2002-10-15,2002.0,10.0,15.0,-34.228213725406285,-14.471893696332701,2002-10-15
2002-11-15,2002.0,11.0,15.0,-32.11223033937678,2.1159833860295016,2002-11-15
2002-12-15,2002.0,12.0,15.0,-10.06446495697309,22.04776538240369,2002-12-15
2003-01-15,2003.0,1.0,15.0,-7.486290033287588,2.578174923685502,2003-01-15
2003-02-15,2003.0,2.0,15.0,-17.93133243264249,-10.4450423993549,2003-02-15
2003-03-15,2003.0,3.0,15.0,-4.524543864016589,13.406788568625899,2003-03-15
2003-04-15,2003.0,4.0,15.0,-3.8108063098888296,0.7137375541277597,2003-04-15
2003-05-15,2003.0,5.0,15.0,-10.68524184899728,-6.87443553910845,2003-05-15
2003-06-15,2003.0,6.0,15.0,-17.54791739701759,-6.8626755480203085,2003-06-15
2003-07-15,2003.0,7.0,15.0,-25.987675689999385,-8.439758292981795,2003-07-15
2003-08-15,2003.0,8.0,15.0,-41.21592904453598,-15.2282533545366,2003-08-15
2003-09-15,2003.0,9.0,15.0,-44.508421188169784,-3.292492143633801,2003-09-15
2003-10-15,2003.0,10.0,15.0,-35.528822205812084,8.9795989823577,2003-10-15
2003-11-15,2003.0,11.0,15.0,-46.511085240435584,-10.9822630346235,2003-11-15
2003-12-15,2003.0,12.0,15.0,-30.685479573451985,15.825605666983598,2003-12-15
2004-01-15,2004.0,1.0,15.0,-14.27589075175458,16.409588821697405,2004-01-15
2004-02-15,2004.0,2.0,15.0,-17.60076910572598,-3.3248783539713997,2004-02-15
2004-03-15,2004.0,3.0,15.0,-22.25772757669888,-4.656958470972899,2004-03-15
2004-04-15,2004.0,4.0,15.0,-24.897012138531682,-2.6392845618328025,2004-04-15
2004-05-15,2004.0,5.0,15.0,-20.59138050942118,4.305631629110501,2004-05-15
2004-06-15,2004.0,6.0,15.0,-19.64732108749348,0.944059421927701,2004-06-15
2004-07-15,2004.0,7.0,15.0,-41.42864666822618,-21.781325580732698,2004-07-15
2004-08-15,2004.0,8.0,15.0,-39.50433174486528,1.924314923360896,2004-08-15
2004-09-15,2004.0,9.0,15.0,-42.97479929966098,-3.4704675547956967,2004-09-15
2004-10-15,2004.0,10.0,15.0,-41.95551854716558,1.0192807524953977,2004-10-15
2004-11-15,2004.0,11.0,15.0,-37.67352294678228,4.281995600383304,2004-11-15
2004-12-15,2004.0,12.0,15.0,-49.112755063690784,-11.439232116908506,2004-12-15
2005-01-15,2005.0,1.0,15.0,-59.148056892292786,-10.035301828602002,2005-01-15
2005-02-15,2005.0,2.0,15.0,-61.12096842593659,-1.9729115336438028,2005-02-15
2005-03-15,2005.0,3.0,15.0,-58.56450019001659,2.5564682359200006,2005-03-15
2005-04-15,2005.0,4.0,15.0,-61.365314524138384,-2.800814334121796,2005-04-15
2005-05-15,2005.0,5.0,15.0,-72.47417810771599,-11.108863583577602,2005-05-15
2005-06-15,2005.0,6.0,15.0,-68.04854271610648,4.425635391609497,2005-06-15
2005-07-15,2005.0,7.0,15.0,-84.98460878558058,-16.9360660694741,2005-07-15
2005-08-15,2005.0,8.0,15.0,-92.89161680020587,-7.907008014625298,2005-08-15
2005-09-15,2005.0,9.0,15.0,-85.92167462812156,6.969942172084302,2005-09-15
2005-10-15,2005.0,10.0,15.0,-85.85210364950956,0.06957097861199912,2005-10-15
2005-11-15,2005.0,11.0,15.0,-84.52908700329856,1.323016646211002,2005-11-15
2005-12-15,2005.0,12.0,15.0,-68.82406914648345,15.705017856815097,2005-12-15
2006-01-15,2006.0,1.0,15.0,-67.71636942015004,1.1076997263334007,2006-01-15
2006-02-15,2006.0,2.0,15.0,-60.690585792390046,7.025783627759999,2006-02-15
2006-03-15,2006.0,3.0,15.0,-62.115524137421446,-1.4249383450314,2006-03-15
2006-04-15,2006.0,4.0,15.0,-57.056656038726544,5.0588680986949015,2006-04-15
2006-05-15,2006.0,5.0,15.0,-57.29742411604314,-0.240768077316595,2006-05-15
2006-06-15,2006.0,6.0,15.0,-66.48636432801234,-9.188940211969204,2006-06-15
2006-07-15,2006.0,7.0,15.0,-65.46351820754634,1.0228461204659993,2006-07-15
2006-08-15,2006.0,8.0,15.0,-81.09419828629105,-15.630680078744703,2006-08-15
2006-09-15,2006.0,9.0,15.0,-84.28522712304824,-3.191028836757198,2006-09-15
2006-10-15,2006.0,10.0,15.0,-84.19311465496745,0.0921124680807992,2006-10-15
2006-11-15,2006.0,11.0,15.0,-78.73486693242884,5.4582477225386015,2006-11-15
2006-12-15,2006.0,12.0,15.0,-68.72848108892924,10.0063858434996,2006-12-15
2007-01-15,2007.0,1.0,15.0,-58.69802882743514,10.030452261494105,2007-01-15
2007-02-15,2007.0,2.0,15.0,-69.98631044929473,-11.288281621859603,2007-02-15
2007-03-15,2007.0,3.0,15.0,-64.98356691122024,5.002743538074505,2007-03-15
2007-04-15,2007.0,4.0,15.0,-62.60588098087864,2.377685930341599,2007-04-15
2007-05-15,2007.0,5.0,15.0,-59.95712496931504,2.6487560115635986,2007-05-15
2007-06-15,2007.0,6.0,15.0,-63.47511593537304,-3.517990966058001,2007-06-15
2007-07-15,2007.0,7.0,15.0,-76.65298161036975,-13.177865674996703,2007-07-15
2007-08-15,2007.0,8.0,15.0,-81.80015526233375,-5.147173651963996,2007-08-15
2007-09-15,2007.0,9.0,15.0,-83.61229803140014,-1.8121427690663978,2007-09-15
2007-10-15,2007.0,10.0,15.0,-83.11079482478225,0.5015032066178975,2007-10-15
2007-11-15,2007.0,11.0,15.0,-82.28325140899534,0.8275434157869057,2007-11-15
2007-12-15,2007.0,12.0,15.0,-77.01770011357945,5.265551295415889,2007-12-15
2008-01-15,2008.0,1.0,15.0,-84.08924212811634,-7.071542014536888,2008-01-15
2008-02-15,2008.0,2.0,15.0,-71.18938945516385,12.899852672952498,2008-02-15
2008-03-15,2008.0,3.0,15.0,-73.80503761749404,-2.6156481623301957,2008-03-15
2008-04-15,2008.0,4.0,15.0,-80.74170090119594,-6.936663283701904,2008-04-15
2008-05-15,2008.0,5.0,15.0,-83.95469157351533,-3.2129906723193997,2008-05-15
2008-06-15,2008.0,6.0,15.0,-102.60547088162724,-18.6507793081119,2008-06-15
2008-07-15,2008.0,7.0,15.0,-93.14142911872044,9.464041762906803,2008-07-15
2008-08-15,2008.0,8.0,15.0,-115.42997348666124,-22.2885443679408,2008-08-15
2008-09-15,2008.0,9.0,15.0,-116.45180532509254,-1.0218318384312965,2008-09-15
2008-10-15,2008.0,10.0,15.0,-115.79224275467934,0.6595625704132004,2008-10-15
2008-11-15,2008.0,11.0,15.0,-113.12134592436743,2.6708968303119036,2008-11-15
2008-12-15,2008.0,12.0,15.0,-107.93113981332525,5.190206111042187,2008-12-15
2009-01-15,2009.0,1.0,15.0,-97.24602020960384,10.685119603721404,2009-01-15
2009-02-15,2009.0,2.0,15.0,-83.91624459561774,13.3297756139861,2009-02-15
2009-03-15,2009.0,3.0,15.0,-74.37176028998465,9.544484305633091,2009-03-15
2009-04-15,2009.0,4.0,15.0,-76.47646049021395,-2.1047002002293027,2009-04-15
2009-05-15,2009.0,5.0,15.0,-84.59030460792854,-8.113844117714592,2009-05-15
2009-06-15,2009.0,6.0,15.0,-81.95603470477975,2.634269903148791,2009-06-15
2009-07-15,2009.0,7.0,15.0,-90.58493464379345,-8.628899939013692,2009-07-15
2009-08-15,2009.0,8.0,15.0,-99.57600192783984,-8.991067284046395,2009-08-15
