time,year,month,day,mb,dmdt,time
2002-01-15,2002.0,1.0,15.0,-11.2728757232163,-1.214640298492987,2002-01-15
2002-02-15,2002.0,2.0,15.0,-13.512863562886494,-2.239987839670194,2002-02-15
2002-03-15,2002.0,3.0,15.0,-12.973176622467845,0.5396869404186487,2002-03-15
2002-04-15,2002.0,4.0,15.0,-13.916740977340634,-0.9435643548727886,2002-04-15
2002-05-15,2002.0,5.0,15.0,-25.030777275341833,-11.1140362980012,2002-05-15
2002-06-15,2002.0,6.0,15.0,-26.297472280067,-1.266695004725167,2002-06-15
2002-07-15,2002.0,7.0,15.0,-32.43083003964381,-6.1333577595768105,2002-07-15
2002-08-15,2002.0,8.0,15.0,-45.6864222146356,-13.255592174991794,2002-08-15
2002-09-15,2002.0,9.0,15.0,-55.679313421495095,-9.992891206859497,2002-09-15
2002-10-15,2002.0,10.0,15.0,-52.355141027567896,3.324172393927199,2002-10-15
2002-11-15,2002.0,11.0,15.0,-45.6531099901041,6.702031037463797,2002-11-15
2002-12-15,2002.0,12.0,15.0,-32.5415188170593,13.111591173044802,2002-12-15
2003-01-15,2003.0,1.0,15.0,-29.912725403485098,2.6287934135742006,2003-01-15
2003-02-15,2003.0,2.0,15.0,-18.724284355517497,11.188441047967599,2003-02-15
2003-03-15,2003.0,3.0,15.0,-14.335112431575688,4.38917192394181,2003-03-15
2003-04-15,2003.0,4.0,15.0,-28.097459979505697,-13.762347547930009,2003-04-15
2003-05-15,2003.0,5.0,15.0,-18.560153295831498,9.537306683674199,2003-05-15
2003-06-15,2003.0,6.0,15.0,-19.826848300556666,-1.266695004725167,2003-06-15
2003-07-15,2003.0,7.0,15.0,-25.960206060133476,-6.1333577595768105,2003-07-15
2003-08-15,2003.0,8.0,15.0,-35.39028984277208,-9.4300837826386,2003-08-15
2003-09-15,2003.0,9.0,15.0,-40.862789972906484,-5.472500130134403,2003-09-15
2003-10-15,2003.0,10.0,15.0,-39.11103676025288,1.751753212653604,2003-10-15
2003-11-15,2003.0,11.0,15.0,-16.64942765651398,22.4616091037389,2003-11-15
2003-12-15,2003.0,12.0,15.0,-23.38407086669728,-6.734643210183302,2003-12-15
2004-01-15,2004.0,1.0,15.0,-14.56876588058578,8.8153049861115,2004-01-15
2004-02-15,2004.0,2.0,15.0,-21.609584415856077,-7.040818535270297,2004-02-15
2004-03-15,2004.0,3.0,15.0,-15.317683986655677,6.2919004292004,2004-03-15
2004-04-15,2004.0,4.0,15.0,-17.231926191651578,-1.914242204995901,2004-04-15
2004-05-15,2004.0,5.0,15.0,-16.12550702141848,1.1064191702330994,2004-05-15
2004-06-15,2004.0,6.0,15.0,-26.660681103612077,-10.535174082193599,2004-06-15
2004-07-15,2004.0,7.0,15.0,-34.476447014631574,-7.815765911019501,2004-07-15
2004-08-15,2004.0,8.0,15.0,-46.495579673047274,-12.0191326584157,2004-08-15
2004-09-15,2004.0,9.0,15.0,-59.59594046079508,-13.100360787747803,2004-09-15
2004-10-15,2004.0,10.0,15.0,-59.187341986545576,0.40859847424950146,2004-10-15
