time,year,month,day,mb,dmdt,time
2002-01-15,2002.0,1.0,15.0,30.83462288431364,7.304412347437516,2002-01-15
2002-02-15,2002.0,2.0,15.0,25.730759408645657,-5.103863475667983,2002-02-15
2002-03-15,2002.0,3.0,15.0,27.206661958630146,1.4759025499844882,2002-03-15
2002-04-15,2002.0,4.0,15.0,28.62381824425226,1.4171562856221138,2002-04-15
2002-05-15,2002.0,5.0,15.0,27.28173215809007,-1.34208608616219,2002-05-15
2002-06-15,2002.0,6.0,15.0,25.021400338191736,-2.2603318198983335,2002-06-15
2002-07-15,2002.0,7.0,15.0,15.86713899090983,-9.154261347281906,2002-07-15
2002-08-15,2002.0,8.0,15.0,-0.7455302405636459,-16.612669231473475,2002-08-15
2002-09-15,2002.0,9.0,15.0,-10.278957345884244,-9.533427105320598,2002-09-15
2002-10-15,2002.0,10.0,15.0,-12.886489379129749,-2.607532033245505,2002-10-15
2002-11-15,2002.0,11.0,15.0,-13.429421158580546,-0.5429317794507966,2002-11-15
2002-12-15,2002.0,12.0,15.0,-13.259297818906447,0.17012333967409887,2002-12-15
2003-01-15,2003.0,1.0,15.0,0.814747270467052,14.074045089373499,2003-01-15
2003-02-15,2003.0,2.0,15.0,-27.053985718887184,-27.868732989354235,2003-02-15
2003-03-15,2003.0,3.0,15.0,-30.68151701537989,-3.6275312964927053,2003-03-15
2003-04-15,2003.0,4.0,15.0,-20.458573679006786,10.222943336373103,2003-04-15
2003-05-15,2003.0,5.0,15.0,-25.837037969778784,-5.378464290771998,2003-05-15
2003-06-15,2003.0,6.0,15.0,-28.097369789677117,-2.2603318198983335,2003-06-15
2003-07-15,2003.0,7.0,15.0,-37.25163113695902,-9.154261347281906,2003-07-15
2003-08-15,2003.0,8.0,15.0,-58.56468332497982,-21.313052188020798,2003-08-15
2003-09-15,2003.0,9.0,15.0,-70.66305781193522,-12.0983744869554,2003-09-15
2003-10-15,2003.0,10.0,15.0,-63.47652492146452,7.186532890470701,2003-10-15
2003-11-15,2003.0,11.0,15.0,-61.72727637346632,1.7492485479981994,2003-11-15
2003-12-15,2003.0,12.0,15.0,-61.59353423709002,0.1337421363762985,2003-12-15
2004-01-15,2004.0,1.0,15.0,-46.70304646045633,14.890487776633691,2004-01-15
2004-02-15,2004.0,2.0,15.0,-56.833319287944825,-10.130272827488497,2004-02-15
2004-03-15,2004.0,3.0,15.0,-55.09828661884383,1.7350326691009954,2004-03-15
2004-04-15,2004.0,4.0,15.0,-45.83760905277143,9.260677566072403,2004-04-15
2004-05-15,2004.0,5.0,15.0,-47.17664550770053,-1.3390364549291007,2004-05-15
2004-06-15,2004.0,6.0,15.0,-43.34383531715453,3.832810190545999,2004-06-15
2004-07-15,2004.0,7.0,15.0,-57.795744197108824,-14.451908879954296,2004-07-15
