time,start_dates,end_dates,changes,errors,glacier_area_reference,glacier_area_observed,hydrological_correction_value,remarks,year,month,day,time,jt,mb
2002-04-28,2002.2465753424656,2002.328767123288,0.0,57.9754512710652,40888,40888,0.0,,2002,4,28,2002-04-28,2002.3224043715848,0.0
2002-05-29,2002.328767123288,2002.4136986301369,15.7289661046987,51.1947425191953,40888,40888,0.0,,2002,5,29,2002-05-29,2002.4071038251366,15.7289661046987
2002-07-29,2002.4136986301369,2002.580821917808,-34.316287759444904,86.8028069514391,40888,40888,0.0,,2002,7,29,2002-07-29,2002.5737704918033,-18.587321654746205
2002-08-30,2002.580821917808,2002.6657534246576,-50.0452538641436,35.6080644322438,40888,40888,0.0,,2002,8,30,2002-08-30,2002.6612021857923,-68.63257551888981
2002-09-29,2002.6657534246576,2002.74794520548,-43.73023183265621,47.3833383287406,40888,40888,0.0,,2002,9,29,2002-09-29,2002.7431693989072,-112.36280735154602
2002-10-30,2002.74794520548,2002.8328767123287,7.563700255134706,29.6907179447318,40888,40888,0.0,,2002,10,30,2002-10-30,2002.827868852459,-104.79910709641132
2002-11-29,2002.8328767123287,2002.9150684931508,5.462878525699097,31.5062050307644,40888,40888,0.0,,2002,11,29,2002-11-29,2002.9098360655737,-99.33622857071222
2003-01-01,2002.9150684931508,2003.0,13.6119290221243,33.9594582455003,40888,40888,0.0,,2003,1,1,2003-01-01,2003.0027322404371,-85.72429954858792
2003-02-01,2003.0,2003.0849315068488,-1.4343515664633983,47.4809365792207,40888,40888,0.0,,2003,2,1,2003-02-01,2003.0874316939892,-87.15865111505133
2003-02-28,2003.0849315068488,2003.1616438356164,3.696016036310205,35.164787033839,40888,40888,0.0,,2003,2,28,2003-02-28,2003.1612021857923,-83.46263507874113
2003-03-29,2003.1616438356164,2003.2465753424656,31.1308273659687,28.2186809962123,40888,40888,0.0,,2003,3,29,2003-03-29,2003.24043715847,-52.33180771277243
2003-04-28,2003.2465753424656,2003.328767123288,10.88123805912918,25.9207396619305,40888,40888,0.0,,2003,4,28,2003-04-28,2003.3224043715848,-41.45056965364325
2003-05-29,2003.328767123288,2003.4136986301369,-10.10907880798428,32.3880277967267,40888,40888,0.0,,2003,5,29,2003-05-29,2003.4071038251366,-51.55964846162753
2003-06-28,2003.4136986301369,2003.495890410959,-27.96874771171443,26.91996726695328,40888,40888,0.0,,2003,6,28,2003-06-28,2003.4890710382513,-79.52839617334196
2003-07-29,2003.495890410959,2003.580821917808,-47.7572957679766,23.3084562038663,40888,40888,0.0,,2003,7,29,2003-07-29,2003.5737704918033,-127.28569194131856
2003-08-30,2003.580821917808,2003.6657534246576,-20.834228504036105,24.2941281441058,40888,40888,0.0,,2003,8,30,2003-08-30,2003.6612021857923,-148.11992044535467
2003-09-29,2003.6657534246576,2003.74794520548,-0.3215260722075896,23.8837198908958,40888,40888,0.0,,2003,9,29,2003-09-29,2003.7431693989072,-148.44144651756224
2003-10-30,2003.74794520548,2003.8328767123287,0.3812273180891878,23.6669231323807,40888,40888,0.0,,2003,10,30,2003-10-30,2003.827868852459,-148.06021919947307
2003-11-29,2003.8328767123287,2003.9150684931508,13.514298531391802,25.2463127236436,40888,40888,0.0,,2003,11,29,2003-11-29,2003.9098360655737,-134.54592066808127
2004-01-01,2003.9150684931508,2004.0,-5.02781131348199,24.0654439124996,40888,40888,0.0,,2004,1,1,2004-01-01,2004.0027322404371,-139.57373198156324
